province,market,type,name,time,_1day_avg,_1day_std,_1day_min,_2day_avg,_2day_std,_2day_min,_3day_avg,_3day_std,_3day_min,_4day_avg,_4day_std,_4day_min,_7day_avg,_7day_std,_7day_min,_14day_avg,_14day_std,_14day_min,_21day_avg,_21day_std,_21day_min,_30day_avg,_30day_std,_30day_min,_60day_avg,_60day_std,_60day_min
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-18,9.0,,9.0,9.0,0.0,9.0,8.666666666666666,0.5773502691896255,8.0,8.5,0.5773502691896255,8.0,8.571428571428571,0.7867957924694431,8.0,8.285714285714286,1.1387288073563862,7.0,7.857142857142857,1.2363540870525034,6.0,7.655172413793103,1.2034433356286312,5.0,7.196428571428571,1.2272607022017903,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-17,9.0,,9.0,9.0,0.0,9.0,8.666666666666666,0.5773502691896255,8.0,8.5,0.5773502691896255,8.0,8.571428571428571,0.7867957924694431,8.0,8.285714285714286,1.1387288073563862,7.0,7.857142857142857,1.2363540870525034,6.0,7.655172413793103,1.2034433356286312,5.0,7.196428571428571,1.2272607022017903,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-16,9.0,,9.0,9.0,0.0,9.0,8.666666666666666,0.5773502691896255,8.0,8.5,0.5773502691896255,8.0,8.571428571428571,0.7867957924694431,8.0,8.285714285714286,1.1387288073563862,7.0,7.857142857142857,1.2363540870525034,6.0,7.655172413793103,1.2034433356286312,5.0,7.196428571428571,1.2272607022017903,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-15,9.0,,9.0,9.0,0.0,9.0,8.666666666666666,0.5773502691896255,8.0,8.5,0.5773502691896255,8.0,8.571428571428571,0.7867957924694431,8.0,8.285714285714286,1.1387288073563862,7.0,7.857142857142857,1.2363540870525034,6.0,7.655172413793103,1.2034433356286312,5.0,7.196428571428571,1.2272607022017903,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-14,9.0,,9.0,9.0,0.0,9.0,8.666666666666666,0.5773502691896255,8.0,8.5,0.5773502691896255,8.0,8.571428571428571,0.7867957924694431,8.0,8.285714285714286,1.1387288073563862,7.0,7.857142857142857,1.2363540870525034,6.0,7.655172413793103,1.2034433356286312,5.0,7.196428571428571,1.2272607022017903,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-13,9.0,,9.0,9.0,0.0,9.0,8.666666666666666,0.5773502691896255,8.0,8.5,0.5773502691896255,8.0,8.571428571428571,0.7867957924694431,8.0,8.285714285714286,1.1387288073563862,7.0,7.857142857142857,1.2363540870525034,6.0,7.655172413793103,1.2034433356286312,5.0,7.196428571428571,1.2272607022017903,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-12,9.0,,9.0,9.0,0.0,9.0,8.666666666666666,0.5773502691896255,8.0,8.5,0.5773502691896255,8.0,8.571428571428571,0.7867957924694431,8.0,8.285714285714286,1.1387288073563862,7.0,7.857142857142857,1.2363540870525034,6.0,7.655172413793103,1.2034433356286312,5.0,7.196428571428571,1.2272607022017903,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-11,9.0,,9.0,9.0,0.0,9.0,8.666666666666666,0.5773502691896255,8.0,8.5,0.5773502691896255,8.0,8.571428571428571,0.7867957924694431,8.0,8.285714285714286,1.1387288073563862,7.0,7.857142857142857,1.2363540870525034,6.0,7.655172413793103,1.2034433356286312,5.0,7.196428571428571,1.2272607022017903,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-10,9.0,,9.0,9.0,0.0,9.0,8.666666666666666,0.5773502691896255,8.0,8.5,0.5773502691896255,8.0,8.571428571428571,0.7867957924694431,8.0,8.285714285714286,1.1387288073563862,7.0,7.857142857142857,1.2363540870525034,6.0,7.655172413793103,1.2034433356286312,5.0,7.196428571428571,1.2272607022017903,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-9,9.0,,9.0,9.0,0.0,9.0,8.666666666666666,0.5773502691896255,8.0,8.5,0.5773502691896255,8.0,8.571428571428571,0.7867957924694431,8.0,8.285714285714286,1.1387288073563862,7.0,7.857142857142857,1.2363540870525034,6.0,7.655172413793103,1.2034433356286312,5.0,7.196428571428571,1.2272607022017903,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-8,9.0,,9.0,9.0,0.0,9.0,8.666666666666666,0.5773502691896255,8.0,8.5,0.5773502691896255,8.0,8.571428571428571,0.7867957924694431,8.0,8.285714285714286,1.1387288073563862,7.0,7.857142857142857,1.2363540870525034,6.0,7.655172413793103,1.2034433356286312,5.0,7.196428571428571,1.2272607022017903,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-7,9.0,,9.0,9.0,0.0,9.0,8.666666666666666,0.5773502691896255,8.0,8.5,0.5773502691896255,8.0,8.571428571428571,0.7867957924694431,8.0,8.285714285714286,1.1387288073563862,7.0,7.857142857142857,1.2363540870525034,6.0,7.655172413793103,1.2034433356286312,5.0,7.196428571428571,1.2272607022017903,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-6,9.0,,9.0,9.0,0.0,9.0,8.666666666666666,0.5773502691896255,8.0,8.5,0.5773502691896255,8.0,8.571428571428571,0.7867957924694431,8.0,8.285714285714286,1.1387288073563862,7.0,7.857142857142857,1.2363540870525034,6.0,7.655172413793103,1.2034433356286312,5.0,7.196428571428571,1.2272607022017903,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-5,9.0,,9.0,9.0,0.0,9.0,8.666666666666666,0.5773502691896255,8.0,8.5,0.5773502691896255,8.0,8.571428571428571,0.7867957924694431,8.0,8.285714285714286,1.1387288073563862,7.0,7.857142857142857,1.2363540870525034,6.0,7.655172413793103,1.2034433356286312,5.0,7.196428571428571,1.2272607022017903,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-4,9.0,,9.0,9.0,0.0,9.0,8.666666666666666,0.5773502691896255,8.0,8.5,0.5773502691896255,8.0,8.571428571428571,0.7867957924694431,8.0,8.285714285714286,1.1387288073563862,7.0,7.857142857142857,1.2363540870525034,6.0,7.655172413793103,1.2034433356286312,5.0,7.196428571428571,1.2272607022017903,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-3,9.0,,9.0,9.0,0.0,9.0,8.666666666666666,0.5773502691896255,8.0,8.5,0.5773502691896255,8.0,8.571428571428571,0.7867957924694431,8.0,8.285714285714286,1.1387288073563862,7.0,7.857142857142857,1.2363540870525034,6.0,7.655172413793103,1.2034433356286312,5.0,7.196428571428571,1.2272607022017903,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-2,9.0,,9.0,9.0,0.0,9.0,8.666666666666666,0.5773502691896255,8.0,8.5,0.5773502691896255,8.0,8.571428571428571,0.7867957924694431,8.0,8.285714285714286,1.1387288073563862,7.0,7.857142857142857,1.2363540870525034,6.0,7.655172413793103,1.2034433356286312,5.0,7.196428571428571,1.2272607022017903,5.0
云南,云南通海金山蔬菜批发市场,茄果类,西红柿,2020-3-1,9.0,,9.0,9.0,0.0,9.0,8.666666666666666,0.5773502691896255,8.0,8.5,0.5773502691896255,8.0,8.571428571428571,0.7867957924694431,8.0,8.285714285714286,1.1387288073563862,7.0,7.857142857142857,1.2363540870525034,6.0,7.655172413793103,1.2034433356286312,5.0,7.196428571428571,1.2272607022017903,5.0
